Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance,Minimum Training % Error,Minimum Validation % Error:,Minimum Testing % Error:
20230414-175100,0.001,512,0.0002,resnet34,5,0.10903466095527013,0.3309229463338852,0.3185655325651169,6.7915142695109045,21.115145683288574,20.279833793640137,26.036111017068226,117.21695065498352,111.87427639961243
20230414-181120,0.001,256,0.0002,resnet101,25,0.07686943511168162,0.07968683913350105,0.07970377244055271,4.721019744873047,4.837640285491943,4.90596079826355,14.555551906426748,15.070619061589241,14.61198627948761
20230414-203806,0.001,256,0.0002,resnet50,25,0.07700401519735654,0.08026192151010036,0.0830132607370615,4.732228374481201,4.908404588699341,5.098134756088257,14.770493904749552,15.144307538866997,14.089459553360939
20230414-214437,0.001,256,0.0001,resnet34,25,0.08014958451191584,0.08037017099559307,0.0784069374203682,4.925292682647705,4.884359121322632,4.826712965965271,15.214147567749023,15.455001965165138,13.981707394123077
20230416-111536,0.001,256,0.0002,densenet121,25,0.07573942169547081,0.078948974609375,0.07807128690183163,4.649534606933594,4.803805351257324,4.806110262870789,16.336303999026615,16.208717226982117,14.727578312158585
20230416-152704,0.001,256,0.0001,densenet121,25,0.08493603343764941,0.08497764356434345,0.08330210670828819,5.236387173334758,5.184023141860962,5.142853617668152,16.663913428783417,17.190375924110413,15.346318110823631
20230416-164856,0.001,256,0.0001,resnet50,25,0.05072054341435432,0.04902789834886789,0.050308799371123314,4.956412903467814,4.759202480316162,4.919360399246216,15.135415494441986,15.256413072347641,14.379239454865456
20230416-205851,0.001,128,0.0001,densenet169,25,0.08295964474900294,0.08322642277926207,0.08757963683456182,5.104862188888808,5.110459804534912,5.369418978691101,17.135392179933646,16.06259699910879,15.031856298446655
20230416-232152,0.001,256,0.0001,resnet18,25,0.08273181592424711,0.08070230297744274,0.08192049339413643,5.0855596701304115,4.909198880195618,5.039783716201782,16.4566474656264,16.207489371299744,15.825127065181732
20230417-111000,0.001,256,0.0002,resnet50,25,0.0781106320520242,0.08093169890344143,0.08235116675496101,4.796939627329508,4.952318072319031,5.078324913978577,14.82724184791247,15.464989095926285,14.555591717362404
20230417-150242,0.001,256,0.0001,resnet50,25,0.08387949441870053,0.08616352826356888,0.08516683988273144,5.179256741205851,5.268338322639465,5.26204776763916,17.159660855929058,17.209871858358383,15.8040352165699
20230417-180346,0.001,256,0.0001,resnet50,25,0.0714537589731863,0.07917260844260454,0.0803403127938509,4.374923035249871,4.8355724811553955,4.943489968776703,13.997233444351261,15.346854738891125,14.214752241969109
20230417-195437,0.001,256,0.0002,resnet50,25,0.0747831633030358,0.07808650005608797,0.08023487124592066,4.588662729424946,4.755722165107727,4.934933125972748,14.572842873759189,15.172936581075191,14.109594374895096
20230417-234155,0.001,256,0.0002,resnet50,25,0.07096440446073726,0.07866677176207304,0.07869113888591528,4.34154423212601,4.797140538692474,4.857756793498993,13.950475886211557,15.31958319246769,14.000858180224895
20230418-115148,0.001,256,0.00015,resnet50,25,0.07076426601763498,0.07889169082045555,0.07830261019989848,4.330056489524194,4.791486859321594,4.83217978477478,13.904795581001347,15.43860174715519,14.116154238581657
