Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance,Minimum Training % Error,Minimum Validation % Error:,Minimum Testing % Error:
20230414-175100,0.001,512,0.0002,resnet34,5,0.10967900604009628,0.23588497936725616,0.24092069268226624,6.734774453299386,15.122925758361816,15.446255683898926,32.14840888977051,73.70757460594177,74.75307583808899
20230414-181120,0.001,256,0.0002,resnet101,25,0.0883814048554216,0.08193408697843552,0.09037898480892181,5.320456504821777,4.916719913482666,5.426563262939453,20.54858739886965,19.3404383957386,20.37586122751236
20230414-203806,0.001,256,0.0002,resnet50,25,0.08292743936181068,0.08227138966321945,0.09159260988235474,4.967429842267718,4.949197769165039,5.516384124755859,19.329804075615748,19.397858530282974,20.418111979961395
20230414-214437,0.001,256,0.0001,resnet34,25,0.08788767190916198,0.08483410999178886,0.09337067604064941,5.284929207393101,5.115330457687378,5.665048360824585,20.54794771330697,19.881778210401535,21.17769941687584
20230416-111536,0.001,256,0.0002,densenet121,25,0.08759999062333788,0.0870777778327465,0.09685620665550232,5.2842945371355325,5.276765823364258,5.903621435165405,21.12086351428713,20.864498615264893,21.719899028539658
20230416-152704,0.001,256,0.0001,densenet121,25,0.09214023021715027,0.08375591784715652,0.09219016134738922,5.561758143561227,5.081422805786133,5.581193923950195,22.587695292064122,19.954347610473633,21.165980398654938
20230416-164856,0.001,256,0.0001,resnet50,25,0.05456257292202541,0.0500150341540575,0.057484425604343414,5.306715999330793,4.915038108825684,5.611624002456665,20.29849046042987,19.310442358255386,20.96368968486786
20230416-205851,0.001,128,0.0001,densenet169,25,0.09263697479452405,0.08409532811492682,0.0988831389695406,5.595542856625149,5.046181261539459,6.021826505661011,22.1355033240148,21.158382296562195,22.841184586286545
20230416-232152,0.001,256,0.0001,resnet18,25,0.060427330168230195,0.08148913085460663,0.08971747010946274,3.7646293810435703,4.890007257461548,5.4053192138671875,17.000379413366318,19.522593170404434,20.37423625588417
20230417-111000,0.001,256,0.0002,resnet50,25,0.08424650079437665,0.08160828053951263,0.09222913905978203,5.05411958694458,4.901580810546875,5.566206932067871,19.530633091926575,19.411958009004593,20.52796632051468
20230417-150242,0.001,256,0.0001,resnet50,25,0.09755064759935651,0.09239121899008751,0.10313056409358978,5.939117091042655,5.64652681350708,6.298091888427734,23.321400795664108,21.51002511382103,22.46660143136978
20230417-180346,0.001,256,0.0001,resnet50,25,0.08905798170183386,0.08488339371979237,0.09783312119543552,5.381721121924264,5.166653752326965,5.977255702018738,20.60531393757888,19.819869473576546,20.921671018004417
20230417-195437,0.001,256,0.0002,resnet50,25,0.08654816901045186,0.08402578718960285,0.09221088699996471,5.2259670325687955,5.067393660545349,5.607145309448242,20.296233892440796,19.72649171948433,20.44268660247326
20230417-234155,0.001,256,0.0002,resnet50,25,0.08763693246458258,0.08595286309719086,0.09328928776085377,5.295222214290074,5.201345443725586,5.653914093971252,20.259206209863937,19.91700567305088,20.684800669550896
20230418-115148,0.001,256,0.00015,resnet50,25,0.08830150882048267,0.08469600044190884,0.09332716651260853,5.332007237843105,5.132572293281555,5.676726937294006,20.33097664160388,19.759732857346535,20.167381316423416
