Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance,Minimum Training % Error,Minimum Validation % Error:,Minimum Testing % Error:
20230414-175100,0.001,512,0.0002,resnet34,5,0.12833108482035724,0.1233384187022845,0.1260237693786621,8.006436174566096,7.747008323669434,7.936556180318196,30.770933492617175,32.59801467259725,32.36135244369507
20230414-181120,0.001,256,0.0002,resnet101,25,0.08966234499631925,0.08812922115127246,0.09048810725410779,5.51244126918704,5.439355293909709,5.582586447397868,18.818991128788436,18.45952793955803,18.92069752017657
20230414-203806,0.001,256,0.0002,resnet50,25,0.08651814453823622,0.08781469861666362,0.08922053501009941,5.317738311235295,5.376227458318074,5.501723448435466,19.667375711507574,18.3829960723718,19.389531513055164
20230414-214437,0.001,256,0.0001,resnet34,25,0.09967577717331953,0.10078580925861995,0.10430910810828209,6.162941821785861,6.196341435114543,6.435899416605632,21.732980255470718,24.249279747406643,26.86675439278285
20230416-103511,0.0011,256,0.0001,resnet50,25,0.09331321525712345,0.0865108072757721,0.08800238991777103,5.943394439164982,5.301359971364339,5.400763273239136,19.97976656569991,18.519129355748493,19.585559517145157
20230416-111536,0.001,256,0.0002,densenet121,25,0.09526567732871966,0.12484008570512135,0.13158487776915231,5.888354190560275,7.810054302215576,8.269269386927286,23.724125533602958,35.47619233528773,37.41324990987778
20230416-152704,0.001,256,0.0001,densenet121,25,0.10309534519910812,0.11813206722338994,0.1217813491821289,6.386046897533328,7.409544547398885,7.63599689801534,25.868357856606327,34.51181699832281,33.3670511841774
20230416-164856,0.001,256,0.0001,resnet50,25,0.06544785885963329,0.054811508705218635,0.05762012489140034,6.466770726580952,5.467089732487996,5.734406232833862,20.58118703060372,19.263073305288952,19.93047297000885
20230416-205851,0.001,128,0.0001,densenet169,25,0.09535651618943494,0.1274950788779692,0.12642398408868097,5.887622317145852,7.925158804113215,7.878903128884056,23.29773371710497,35.66344353285703,35.42890657078136
20230416-232152,0.001,256,0.0001,resnet18,25,0.1014910232882167,0.11533759410182635,0.11802973846594493,6.283791619677876,7.181690533955892,7.341504255930583,26.336498835752177,28.96294544140498,30.9245765209198
20230417-111000,0.001,256,0.0002,resnet50,25,0.08976932424445484,0.08748737288018067,0.09534541269143422,,5.37445084253947,5.8658896287282305,20.583068284877513,19.230559468269348,22.0055989921093
20230417-150242,0.001,256,0.0001,resnet50,25,0.10949601995390515,0.1016141486664613,0.10992123062411945,6.8128785089004875,6.310240666071574,6.8471910158793134,25.103972263114397,22.204457968473434,23.62714906533559
20230417-180346,0.001,256,0.0001,resnet50,25,0.08249009067521376,0.08530213209715756,0.08674297346310182,5.057474893682143,5.242936697873202,5.3509220643477,18.43271798947278,18.129367313601755,18.07528693567623
20230417-195437,0.001,256,0.0002,resnet50,25,0.07909254633328494,0.08254716748541052,0.08380165086551146,4.835614002452177,5.0595880855213515,5.143247951160777,17.80063311843311,17.78095933524045,17.68998828801242
20230417-234155,0.001,256,0.0002,resnet50,25,0.07900631410234114,0.08284531872380864,0.08430944315411827,4.830349894130931,5.0652944391424,5.174781105735085,17.70366183098625,17.65029186552221,18.484806743535128
20230418-115148,0.001,256,0.00015,resnet50,25,0.07996922319426256,0.08287863501093605,0.08484349941665476,4.892062456467572,5.074579412286932,5.213834199038419,17.902921368094052,17.98370304432782,18.370877748185936
