Model name,Learning rate,Batch size,Weight decay,Model type,Epochs,Minimum Training MSE,Minimum Validation MSE,Testing MSE,Minimum Training Average Distance,Minimum Validation Average Distance,Testing Average Distance,Minimum Training % Error,Minimum Validation % Error:,Minimum Testing % Error:
20230414-175100,0.001,512,0.0002,resnet34,5,0.11572088433461852,0.20717665894577902,0.20645863935351372,7.189739075522403,13.186021089553833,13.134472449620564,29.15711063343338,64.48210881402096,63.41396365314722
20230414-181120,0.001,256,0.0002,resnet101,25,0.08215531118440655,0.08167871256314573,0.0838117950507218,5.013497136486005,4.9776098018600825,5.1227514034225825,17.47334535633565,17.38834459600704,17.51717824843668
20230414-203806,0.001,256,0.0002,resnet50,25,0.08033825057999108,0.08177630193088026,0.08456920706001775,4.898627977999846,4.983582337697347,5.168438848995027,17.48917530721799,17.375281058429252,17.489312167855957
20230414-214437,0.001,256,0.0001,resnet34,25,0.08765137296767812,0.08683479180382121,0.08905018187527146,5.366374653799229,5.29810087737583,5.462336831149601,18.717626249707383,19.221544234702986,19.835200808232738
20230416-111536,0.001,256,0.0002,densenet121,25,0.08509116189706789,0.09331573736632154,0.09664415690072235,5.210417332112051,5.736121926988874,5.9711963548546745,19.874417435962528,22.582743724896794,23.102728596755437
20230416-152704,0.001,256,0.0001,densenet121,25,0.08966575642459063,0.09189511500742464,0.09415964609278099,5.498586556907388,5.659303233737037,5.811616564080829,20.73197680035771,22.2237490827129,21.692229661026172
20230416-164856,0.001,256,0.0001,resnet50,25,0.055257002381161775,0.051158697555019034,0.053759267154548845,5.388258424055344,5.002051986399151,5.254658247743334,18.179328207335004,17.71257400867485,18.048356460141285
20230416-205851,0.001,128,0.0001,densenet169,25,0.08972149503977656,0.09497824204214787,0.09907348460348492,5.502700596031538,5.828975589437919,6.10111927870032,20.594170699635384,22.789610089589054,22.776910640879883
20230416-232152,0.001,256,0.0001,resnet18,25,0.07728343971412478,0.0877516599859865,0.09072312495360772,4.762460878222871,5.368687483526411,5.56464083421798,18.866693485184317,20.545555872931367,21.236935976360527
20230417-111000,0.001,256,0.0002,resnet50,25,0.08193590562006045,0.0821000582848986,0.08644136644545056,,5.008336264462698,5.289409074045363,17.823648072065097,17.78913140296936,18.413182946720294
20230417-150242,0.001,256,0.0001,resnet50,25,0.09283636592193158,0.09136099891648405,0.0950840283406987,5.717328533337314,5.621181770449593,5.86858758472261,20.925430437242603,19.86988876014948,20.071495794469403
20230417-180346,0.001,256,0.0001,resnet50,25,0.07831320298502785,0.081078220204172,0.08462446335364472,4.772052617540737,4.957566934359538,5.192209226550994,17.123036801526244,17.375212644722748,17.260880453826545
20230417-195437,0.001,256,0.0002,resnet50,25,0.07845887215606409,0.08058143008875286,0.0832482610690081,4.781746801701981,4.909139767869727,5.094490250790274,17.179370310238912,17.354829255612444,17.244791320537203
20230417-234155,0.001,256,0.0002,resnet50,25,0.07816378183660262,0.08125568349095812,0.08304232112494866,4.762392525737062,4.9524977236212075,5.082305690104311,17.032738159072174,17.456787534348376,17.43669864334553
20230418-115148,0.001,256,0.00015,resnet50,25,0.07847558580547163,0.08119132872308035,0.08359304453736147,4.78078700554911,4.948521802177677,5.123355388254314,17.0820782199756,17.47406099668958,17.25269283542966
